check_id,severity,service,resource_name,explanation_line_1,explanation_line_2,verification_verdict
app_client_certificates_on,medium,app,ref3tier-dev-app-7mog1c,ref3tier-dev-app-7mog1c does not require client certificates for incoming connections.,"Without this check, the app has one less way to verify that a caller is who it claims to be.",VERIFIED
app_ensure_auth_is_set_up,medium,app,ref3tier-dev-app-7mog1c,ref3tier-dev-app-7mog1c does not have App Service Authentication configured.,Anyone who finds the app's web address can reach it without signing in first.,VERIFIED
app_ensure_using_http20,low,app,ref3tier-dev-app-7mog1c,ref3tier-dev-app-7mog1c has not enabled HTTP/2.0 support.,This is a performance and modernization gap rather than a direct security exposure.,VERIFIED
app_http_logs_enabled,low,app,ref3tier-dev-app-7mog1c,ref3tier-dev-app-7mog1c is not recording HTTP request logs in its diagnostic settings.,"Without these logs, there is no record of who accessed the app or when, making incidents hard to investigate.",VERIFIED
appinsights_ensure_is_configured,low,appinsights,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no Application Insights resource set up for monitoring.,"Without it, there is no application-level visibility into errors, performance issues, or unusual behavior.",VERIFIED
defender_auto_provisioning_log_analytics_agent_vms_on,high,defender,default,Automatic deployment of the monitoring agent to virtual machines is turned off.,New VMs would not automatically get the agent needed for Defender to monitor them.,VERIFIED
defender_container_images_scan_enabled,high,defender,Containers,Container image vulnerability scanning is not enabled for this subscription.,Container images could be deployed with known vulnerabilities without any automatic warning.,VERIFIED
defender_ensure_defender_for_app_services_is_on,high,defender,Defender plan App Services,Microsoft Defender for App Services is not enabled (requires the paid Standard tier).,Web apps in this subscription do not get active threat detection beyond basic platform security.,VERIFIED
defender_ensure_defender_for_arm_is_on,high,defender,Defender plan ARM,Microsoft Defender for Azure Resource Manager is not enabled (requires the paid Standard tier).,Suspicious or unusual resource management operations would not be automatically flagged.,VERIFIED
defender_ensure_defender_for_azure_sql_databases_is_on,high,defender,SqlServers,Microsoft Defender for Azure SQL Databases is not enabled (requires the paid Standard tier).,SQL databases miss out on advanced threat detection beyond basic platform security.,VERIFIED
defender_ensure_defender_for_containers_is_on,high,defender,Containers,Microsoft Defender for Containers is not enabled (requires the paid Standard tier).,Container workloads do not receive runtime threat detection or vulnerability insights.,VERIFIED
defender_ensure_defender_for_cosmosdb_is_on,high,defender,Defender plan Cosmos DB,Microsoft Defender for Cosmos DB is not enabled (requires the paid Standard tier).,Any Cosmos DB resources in this subscription would not get active threat monitoring.,VERIFIED
defender_ensure_defender_for_databases_is_on,high,defender,SqlServers,Microsoft Defender for Databases is not enabled (requires the paid Standard tier).,Database workloads across the subscription miss out on this layer of automated threat detection.,VERIFIED
defender_ensure_defender_for_dns_is_on,high,defender,Defender plan DNS,Microsoft Defender for DNS is not enabled (requires the paid Standard tier).,"Malicious DNS activity, such as data exfiltration attempts over DNS, would not be automatically flagged.",VERIFIED
defender_ensure_defender_for_keyvault_is_on,high,defender,Defender plan KeyVaults,Microsoft Defender for Key Vaults is not enabled (requires the paid Standard tier).,Unusual access patterns to Key Vault secrets would not trigger automated threat alerts.,VERIFIED
defender_ensure_defender_for_os_relational_databases_is_on,high,defender,Defender plan Open-Source Relational Databases,Microsoft Defender for Open-Source Relational Databases is not enabled (paid Standard tier required).,Any open-source database services in this subscription would not get active threat detection.,VERIFIED
defender_ensure_defender_for_server_is_on,high,defender,Defender plan Servers,Microsoft Defender for Servers is not enabled (requires the paid Standard tier).,Virtual machines in this subscription do not receive endpoint threat detection.,VERIFIED
defender_ensure_defender_for_sql_servers_is_on,high,defender,Defender plan SQL Server VMs,Microsoft Defender for SQL Server on machines is not enabled (paid Standard tier required).,SQL Server instances running on VMs miss out on this layer of automated threat detection.,VERIFIED
defender_ensure_defender_for_storage_is_on,high,defender,Defender plan Storage Accounts,Microsoft Defender for Storage is not enabled (requires the paid Standard tier).,"Unusual access patterns to storage accounts, such as bulk downloads, would not trigger automated alerts.",VERIFIED
defender_ensure_iot_hub_defender_is_on,high,defender,843e85de-3f5f-4614-967a-9f39f1fe9ba7,Microsoft Defender for IoT Hub is not enabled.,Any IoT devices connected through this subscription would not receive dedicated threat monitoring.,VERIFIED
keyvault_logging_enabled,high,keyvault,ref3tierkv7mog1c,ref3tierkv7mog1c has no diagnostic setting recording who accesses its secrets.,"Without this audit trail, unauthorized secret access could happen without anyone noticing.",VERIFIED
keyvault_private_endpoints,high,keyvault,ref3tierkv7mog1c,ref3tierkv7mog1c is not using a private endpoint for network access.,Traffic to the vault can travel over the public network path instead of staying inside your private network.,VERIFIED
keyvault_rbac_secret_expiration_set,medium,keyvault,sql-admin-password,A secret stored in sql-admin-password has no expiration date set.,"A credential with no expiry stays valid forever, so a leaked copy remains usable indefinitely.",VERIFIED
keyvault_recoverable,high,keyvault,ref3tierkv7mog1c,ref3tierkv7mog1c does not have purge protection enabled alongside soft delete.,This means the vault and its secrets could be permanently and irreversibly deleted.,VERIFIED
monitor_alert_create_policy_assignment,medium,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,No activity log alert exists for when a governance policy is assigned.,Policy changes affecting compliance rules across the subscription would not trigger a notification.,VERIFIED
monitor_alert_create_update_nsg,high,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no activity log alert for Network Security Group creation or modification.,A change that opens up network access could happen without the security team being notified.,VERIFIED
monitor_alert_create_update_public_ip_address_rule,medium,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no activity log alert for public IP address creation or updates.,A new public IP address exposing a resource to the internet would not trigger any notification.,VERIFIED
monitor_alert_create_update_security_solution,medium,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,No activity log alert exists for changes to security solutions in the subscription.,Modifications to protective tooling could happen without anyone being alerted.,VERIFIED
monitor_alert_create_update_sqlserver_fr,medium,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no activity log alert for SQL Server firewall rule creation or updates.,A firewall rule opening database access could be added without triggering any warning.,VERIFIED
monitor_alert_delete_nsg,high,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no activity log alert for Network Security Group deletion.,An entire network security boundary could be removed without anyone being notified.,VERIFIED
monitor_alert_delete_policy_assignment,high,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no activity log alert for the deletion of policy assignments.,A compliance or governance control could be removed without triggering any alert.,VERIFIED
monitor_alert_delete_public_ip_address_rule,medium,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no activity log alert for public IP address deletions.,"Removing a public IP typically reduces exposure, but the change still happens without any recorded notification.",VERIFIED
monitor_alert_delete_security_solution,medium,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,No activity log alert exists for deletion of security solutions.,A protective monitoring tool could be removed from the subscription without notifying the team.,VERIFIED
monitor_alert_delete_sqlserver_fr,medium,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no activity log alert for SQL Server firewall rule deletions.,Removing a firewall rule that restricts access would not trigger a notification.,VERIFIED
monitor_alert_service_health_exists,medium,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no activity log alert for Azure Service Health incidents.,The team may not be automatically informed when Azure itself has an outage affecting these resources.,VERIFIED
monitor_diagnostic_setting_with_appropriate_categories,high,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription's diagnostic setting does not capture all recommended log categories.,"Some administrative, security, alert, or policy events may not be recorded at all.",VERIFIED
monitor_diagnostic_settings_exists,high,monitor,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no activity log diagnostic setting configured at all.,Administrative actions taken across the entire subscription are not being centrally recorded.,VERIFIED
network_bastion_host_exists,medium,network,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no Azure Bastion Host deployed.,Administrators may need to expose direct RDP or SSH access to virtual machines instead of using a secure gateway.,VERIFIED
network_flow_log_captured_sent,high,network,NetworkWatcher_centralindia,NetworkWatcher_centralindia does not have flow logs enabled and sent to a Log Analytics workspace.,"Network traffic patterns are not being recorded, making it hard to investigate unusual connections after the fact.",VERIFIED
network_flow_log_more_than_90_days,medium,network,NetworkWatcher_centralindia,NetworkWatcher_centralindia does not retain flow logs for at least 90 days.,Older network traffic records may already be gone by the time they are needed for an investigation.,VERIFIED
network_http_internet_access_restricted,high,network,ref3tier-dev-web-nsg,ref3tier-dev-web-nsg does not restrict inbound HTTP (port 80) access from the internet.,Unencrypted web traffic could reach resources behind this rule directly from any internet address.,VERIFIED
network_subnet_nsg_associated,high,network,ref3tier-dev-vnet/web-integration-subnet,ref3tier-dev-vnet/web-integration-subnet does not have a Network Security Group attached.,Traffic entering or leaving this subnet is not being filtered by any network-level access rules.,VERIFIED
network_vnet_ddos_protection_enabled,medium,network,ref3tier-dev-vnet,ref3tier-dev-vnet does not have Azure DDoS Network Protection enabled.,The network has less protection against large-scale traffic floods aimed at causing an outage.,VERIFIED
network_watcher_enabled,high,network,843e85de-3f5f-4614-967a-9f39f1fe9ba7,Network Watcher is not enabled in all regions used by this subscription.,Diagnostic and monitoring tools for network traffic are unavailable in the regions missing it.,VERIFIED
sqlserver_auditing_enabled,high,sqlserver,ref3tier-dev-sql-7mog1c,ref3tier-dev-sql-7mog1c does not have an auditing policy configured.,There is no record of who accessed or modified data on this database server.,VERIFIED
sqlserver_auditing_retention_90_days,medium,sqlserver,ref3tier-dev-sql-7mog1c,"ref3tier-dev-sql-7mog1c has auditing enabled, but log retention is set below 90 days.",Older audit records may already be deleted by the time an investigation needs them.,VERIFIED
sqlserver_azuread_administrator_enabled,medium,sqlserver,ref3tier-dev-sql-7mog1c,ref3tier-dev-sql-7mog1c has no Azure Active Directory administrator assigned.,Database administration depends on separate SQL credentials instead of centrally managed Azure AD accounts.,VERIFIED
sqlserver_microsoft_defender_enabled,high,sqlserver,ref3tier-dev-sql-7mog1c,ref3tier-dev-sql-7mog1c does not have Microsoft Defender for SQL enabled.,The database misses out on automated detection of anomalous queries and known attack patterns.,VERIFIED
sqlserver_tde_encrypted_with_cmk,critical,sqlserver,ref3tier-dev-sql-7mog1c,ref3tier-dev-sql-7mog1c encrypts data at rest using a Microsoft-managed key instead of a customer-managed key.,The organization cannot control key rotation or revoke access to the encryption key independently of Microsoft.,VERIFIED
sqlserver_va_emails_notifications_admins_enabled,medium,sqlserver,ref3tier-dev-sql-7mog1c,"ref3tier-dev-sql-7mog1c has vulnerability assessment configured, but admin email notifications are turned off.",Scan results identifying weaknesses would not automatically reach the people responsible for fixing them.,VERIFIED
sqlserver_va_periodic_recurring_scans_enabled,medium,sqlserver,ref3tier-dev-sql-7mog1c,ref3tier-dev-sql-7mog1c does not have periodic recurring vulnerability scans enabled.,Security weaknesses that appear after the initial setup would not be automatically detected later.,VERIFIED
sqlserver_va_scan_reports_configured,medium,sqlserver,ref3tier-dev-sql-7mog1c,ref3tier-dev-sql-7mog1c has vulnerability assessment enabled but no report recipients configured.,Scan reports are generated but nobody is set up to actually receive and act on them.,VERIFIED
sqlserver_vulnerability_assessment_enabled,medium,sqlserver,ref3tier-dev-sql-7mog1c,ref3tier-dev-sql-7mog1c does not have vulnerability assessment enabled at all.,The database is never automatically checked for common security misconfigurations.,VERIFIED
storage_account_key_access_disabled,high,storage,ref3tierst7mog1c,ref3tierst7mog1c still allows access using shared storage account keys instead of requiring Azure AD sign-in.,Anyone who obtains one of these keys gets broad access to the data with no way to revoke just their access.,VERIFIED
storage_account_key_access_disabled,high,storage,tfstatevignesh001,tfstatevignesh001 still allows access using shared storage account keys instead of requiring Azure AD sign-in.,Anyone who obtains one of these keys gets broad access to the data with no way to revoke just their access.,VERIFIED
storage_account_public_network_access_disabled,high,storage,ref3tierst7mog1c,ref3tierst7mog1c allows network access from the public internet rather than restricting it.,The storage account's data endpoint is reachable from outside your private network.,VERIFIED
storage_account_public_network_access_disabled,high,storage,tfstatevignesh001,tfstatevignesh001 allows network access from the public internet rather than restricting it.,The storage account's data endpoint is reachable from outside your private network.,VERIFIED
storage_blob_public_access_level_is_disabled,high,storage,ref3tierst7mog1c,ref3tierst7mog1c allows anonymous public access to blob data.,A container inside this account could be made readable by anyone on the internet with no sign-in required.,VERIFIED
storage_blob_versioning_is_enabled,medium,storage,tfstatevignesh001,tfstatevignesh001 does not have blob versioning enabled.,"If a file is accidentally overwritten or deleted, there is no built-in way to recover the earlier version.",VERIFIED
storage_cross_tenant_replication_disabled,high,storage,ref3tierst7mog1c,ref3tierst7mog1c allows cross-tenant replication of its data.,Data from this storage account could potentially be replicated to a storage account in a different organization.,VERIFIED
storage_default_network_access_rule_is_denied,high,storage,ref3tierst7mog1c,ref3tierst7mog1c's default network access rule is set to Allow rather than Deny.,The storage account accepts connections from any network by default instead of only trusted ones.,VERIFIED
storage_default_network_access_rule_is_denied,high,storage,tfstatevignesh001,tfstatevignesh001's default network access rule is set to Allow rather than Deny.,The storage account accepts connections from any network by default instead of only trusted ones.,VERIFIED
storage_default_to_entra_authorization_enabled,medium,storage,ref3tierst7mog1c,ref3tierst7mog1c does not default to Microsoft Entra (Azure AD) authorization for access.,Access requests may fall back to older key-based authentication instead of centrally managed identities.,VERIFIED
storage_default_to_entra_authorization_enabled,medium,storage,tfstatevignesh001,tfstatevignesh001 does not default to Microsoft Entra (Azure AD) authorization for access.,Access requests may fall back to older key-based authentication instead of centrally managed identities.,VERIFIED
storage_ensure_encryption_with_customer_managed_keys,high,storage,ref3tierst7mog1c,ref3tierst7mog1c is encrypted using a Microsoft-managed key rather than a customer-managed key.,The organization cannot independently control or revoke the key protecting this data at rest.,VERIFIED
storage_ensure_encryption_with_customer_managed_keys,high,storage,tfstatevignesh001,tfstatevignesh001 is encrypted using a Microsoft-managed key rather than a customer-managed key.,The organization cannot independently control or revoke the key protecting this data at rest.,VERIFIED
storage_ensure_minimum_tls_version_12,medium,storage,tfstatevignesh001,tfstatevignesh001 does not enforce TLS 1.2 as the minimum connection protocol.,"Older, weaker encryption protocols could still be used to connect to this storage account.",VERIFIED
storage_ensure_private_endpoints_in_storage_accounts,medium,storage,ref3tierst7mog1c,ref3tierst7mog1c does not have a private endpoint configured.,Traffic to this storage account can travel over the public network path instead of staying private.,VERIFIED
storage_ensure_private_endpoints_in_storage_accounts,medium,storage,tfstatevignesh001,tfstatevignesh001 does not have a private endpoint configured.,Traffic to this storage account can travel over the public network path instead of staying private.,VERIFIED
storage_ensure_soft_delete_is_enabled,medium,storage,ref3tierst7mog1c,ref3tierst7mog1c does not have soft delete enabled for its containers.,A deleted container cannot be recovered once the deletion has been processed.,VERIFIED
storage_ensure_soft_delete_is_enabled,medium,storage,tfstatevignesh001,tfstatevignesh001 does not have soft delete enabled for its containers.,A deleted container cannot be recovered once the deletion has been processed.,VERIFIED
storage_geo_redundant_enabled,medium,storage,ref3tierst7mog1c,ref3tierst7mog1c does not use geo-redundant replication.,"Data is only stored in one region, so a regional outage could make it temporarily or permanently unavailable.",VERIFIED
storage_geo_redundant_enabled,medium,storage,tfstatevignesh001,tfstatevignesh001 does not use geo-redundant replication.,"Data is only stored in one region, so a regional outage could make it temporarily or permanently unavailable.",VERIFIED
storage_infrastructure_encryption_is_enabled,low,storage,ref3tierst7mog1c,ref3tierst7mog1c does not have infrastructure-level (double) encryption enabled.,Data at rest relies on a single layer of encryption rather than two independent layers.,VERIFIED
storage_infrastructure_encryption_is_enabled,low,storage,tfstatevignesh001,tfstatevignesh001 does not have infrastructure-level (double) encryption enabled.,Data at rest relies on a single layer of encryption rather than two independent layers.,VERIFIED
storage_key_rotation_90_days,medium,storage,ref3tierst7mog1c,ref3tierst7mog1c does not have an access key expiration policy of 90 days or less.,Access keys can remain valid indefinitely instead of being rotated on a regular schedule.,VERIFIED
storage_key_rotation_90_days,medium,storage,tfstatevignesh001,tfstatevignesh001 does not have an access key expiration policy of 90 days or less.,Access keys can remain valid indefinitely instead of being rotated on a regular schedule.,VERIFIED
storage_smb_channel_encryption_with_secure_algorithm,medium,storage,ref3tierst7mog1c,ref3tierst7mog1c does not enforce AES-256-GCM encryption for SMB file share connections.,File share traffic may be using a weaker encryption algorithm than currently recommended.,VERIFIED
storage_smb_channel_encryption_with_secure_algorithm,medium,storage,tfstatevignesh001,tfstatevignesh001 does not enforce AES-256-GCM encryption for SMB file share connections.,File share traffic may be using a weaker encryption algorithm than currently recommended.,VERIFIED
aad-users-create-security-groups-disabled,high,Azure Active Directory,authorizationPolicy,Regular Azure AD users are currently allowed to create their own security groups.,"This lets any user create access-control groups without administrator review, which can undermine intended permissions.",VERIFIED
appservice-authentication-disabled,medium,App Services,scoutid-15d620a1f604c430215768919494ab14d53627ec,This resource does not have App Service built-in authentication turned on.,Requests can reach the app without proving who they are before your own application code runs.,VERIFIED
appservice-client-certificates-disabled,medium,App Services,scoutid-15d620a1f604c430215768919494ab14d53627ec,This resource does not require client certificates from callers.,"Without this extra check, the app cannot confirm which system or service is actually calling it.",VERIFIED
appservice-http-2-disabled,medium,App Services,scoutid-15d620a1f604c430215768919494ab14d53627ec,This resource is still running on the older HTTP/1.1 protocol instead of HTTP/2.,"This mainly affects performance and modern transport security features, not data exposure directly.",VERIFIED
keyvault-not-recoverable,medium,Key Vault,scoutid-98c45c519d020c4dfec18f3dd1ce8e1c7755a21a,This Key Vault does not have recovery protection enabled.,"If the vault is deleted, whether by mistake or on purpose, its secrets may be lost permanently.",VERIFIED
keyvault-public-traffic-allowed,medium,Key Vault,scoutid-98c45c519d020c4dfec18f3dd1ce8e1c7755a21a,This Key Vault is configured to accept traffic from the public internet.,This gives the vault a larger attack surface than one that is only reachable from trusted internal networks.,VERIFIED
create_delete_firewall_rule_exist,medium,Logging Monitoring,843e85de-3f5f-4614-967a-9f39f1fe9ba7,"The subscription has no alert configured for SQL Server firewall rule creation, changes, or deletion.",A firewall rule change that opens database access to new networks could go completely unnoticed.,VERIFIED
create_update_NSG_exist,medium,Logging Monitoring,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no alert configured for Network Security Group creation or changes.,A rule change that opens up network access could happen without triggering any warning to the team.,VERIFIED
create_update_NSG_rule_exist,medium,Logging Monitoring,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no alert configured for changes made to individual Network Security Group rules.,A single permissive rule added to an NSG would not raise any alarm even though it changes what traffic is allowed.,VERIFIED
create_update_security_solution_exist,medium,Logging Monitoring,843e85de-3f5f-4614-967a-9f39f1fe9ba7,No alert is configured for changes to security solutions in the subscription.,Someone could disable or reconfigure a protective security tool without the change being flagged.,VERIFIED
delete_NSG_exist,medium,Logging Monitoring,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no alert configured for Network Security Group deletion.,Removing a firewall boundary entirely would not trigger any notification to the security team.,VERIFIED
delete_NSG_rule_exist,medium,Logging Monitoring,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no alert configured for the deletion of individual Network Security Group rules.,"A protective rule could be quietly removed, widening network access, without anyone being told.",VERIFIED
delete_security_solution_exist,medium,Logging Monitoring,843e85de-3f5f-4614-967a-9f39f1fe9ba7,No alert is configured for the deletion of security solutions in the subscription.,A monitoring or protection tool could be switched off entirely without notifying the team.,VERIFIED
logging-monitoring-log-alert-not-exist-create-policy-assignment,medium,Logging Monitoring,843e85de-3f5f-4614-967a-9f39f1fe9ba7,No alert is configured for when a new governance policy is assigned in the subscription.,Someone could assign or change policy controls without the security team being made aware.,VERIFIED
rbac-administering-resource-locks-assigned,high,RBAC,843e85de-3f5f-4614-967a-9f39f1fe9ba7,There is no dedicated role restricting who can manage resource locks in this subscription.,"Without this control, more people than necessary can remove locks meant to prevent accidental deletion.",VERIFIED
securitycenter-security-contacts-not-set,medium,Security Center,security_contacts,No security contact email or phone number is configured for this subscription.,"If Microsoft detects a security issue, there is no defined contact to receive that notification.",VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-bcb6591d424173db074b927f40efed62afc940ea,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-04f1d87506d8566b441d8cdc049f7b26be4ae50b,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-e37f8ff8212bcdc2fddec09a3d6ec9e2b3b495ff,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-407f40b1efa2df0a083057f1939199290891d200,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-8d09b1a421cf5d52fecc69813af0e953ef796d0b,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-1fb869ed0a38605adfeca52e5cbb3f1a8c96c706,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-1efb1cece0b16005ae09f6cfb4091e0b63776410,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-a665a0475f80ee9b3912ef72c778547d3a86a988,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-eb8d995ab1bf5e5190ad499b32971f16b77e0938,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-a84c974fde521f407859f0799121c4cb55a95258,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-68f5ebb264a5a96d33ea2a31bdad20667a6a4a84,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-6db41699300783f7c9f43a6db04d93766d4843a9,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-b7d76e41cd03c0e692db97d491d9ea36394aa5f3,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-335c0814dfdec18b7acc6ee13ac0a883e3d8830b,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-423235cd915309884a0cac59afa28c9bb35faf16,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
securitycenter-standard-tier-not-enabled,medium,Security Center,scoutid-e58520d86516ec0ced737d6bdd3b0671c4ee6a1a,Microsoft Defender for Cloud's Standard tier is not enabled for this resource type.,The subscription only receives basic security recommendations instead of active threat detection for this service.,VERIFIED
sqldatabase-databases-no-auditing,medium,SQL Database,ref3tier-dev-db,ref3tier-dev-db does not have auditing enabled.,"Without auditing, there is no record of who queried or changed the data inside this database.",VERIFIED
sqldatabase-databases-no-threat-detection,medium,SQL Database,ref3tier-dev-db,ref3tier-dev-db does not have threat detection enabled.,Suspicious activity such as SQL injection attempts would not automatically trigger any alert.,VERIFIED
sqldatabase-databases-threat-detection-send-alerts-disabled,medium,SQL Database,ref3tier-dev-db,ref3tier-dev-db has threat detection enabled but alert notifications are turned off.,"Even if suspicious activity is detected internally, nobody would actually be notified.",VERIFIED
sqldatabase-servers-TDE-not-encrypted-with-customer-managed-key,medium,SQL Database,scoutid-2a2ef65e6404307698162b58a08b6439030c3fc3,The SQL server's transparent data encryption uses a Microsoft-managed key rather than a customer-managed one.,This means the organization does not control or rotate the encryption key protecting data at rest.,VERIFIED
sqldatabase-servers-no-ad-admin-configured,medium,SQL Database,scoutid-2a2ef65e6404307698162b58a08b6439030c3fc3,The SQL Server has no Azure Active Directory administrator configured.,This means database access relies only on SQL logins instead of centrally managed Azure AD identities.,VERIFIED
sqldatabase-servers-no-auditing,medium,SQL Database,scoutid-2a2ef65e6404307698162b58a08b6439030c3fc3,The SQL Server itself does not have server-level auditing configured.,"Without it, administrative and query activity across all databases on the server goes unrecorded.",VERIFIED
sqldatabase-servers-no-threat-detection,medium,SQL Database,scoutid-2a2ef65e6404307698162b58a08b6439030c3fc3,The SQL Server does not have Advanced Threat Protection enabled.,"Attempts to exploit the database, such as brute-force logins or SQL injection, would not be automatically flagged.",VERIFIED
sqldatabase-servers-threat-detection-send-alerts-disabled,medium,SQL Database,scoutid-2a2ef65e6404307698162b58a08b6439030c3fc3,Advanced Threat Protection alerts are not configured to notify anyone for this SQL Server.,"Even if a threat is detected, there is no notification path to alert the responsible team.",VERIFIED
sqldatabase-servers-vulnerability-recurring-scans-disabled,medium,SQL Database,scoutid-2a2ef65e6404307698162b58a08b6439030c3fc3,The SQL Server does not have recurring vulnerability scans scheduled.,New misconfigurations or weaknesses introduced over time would not be automatically caught.,VERIFIED
storageaccount-access-keys-not-rotated,medium,Storage Accounts,scoutid-b079053609c2c950d83b9d664ced173acca9383e,This storage account's access keys have not been rotated recently.,An old key that may have been exposed somewhere in the past could still be valid and usable today.,VERIFIED
storageaccount-access-keys-not-rotated,medium,Storage Accounts,scoutid-840a3d8fadafa69acb839dac91a1f6f74d419203,This storage account's access keys have not been rotated recently.,An old key that may have been exposed somewhere in the past could still be valid and usable today.,VERIFIED
storageaccount-encrypted-not-customer-managed,medium,Storage Accounts,scoutid-b079053609c2c950d83b9d664ced173acca9383e,This storage account is encrypted using a Microsoft-managed key rather than a customer-managed key.,The organization has no direct control over the encryption key protecting this stored data.,VERIFIED
storageaccount-encrypted-not-customer-managed,medium,Storage Accounts,scoutid-840a3d8fadafa69acb839dac91a1f6f74d419203,This storage account is encrypted using a Microsoft-managed key rather than a customer-managed key.,The organization has no direct control over the encryption key protecting this stored data.,VERIFIED
storageaccount-public-traffic-allowed,medium,Storage Accounts,scoutid-b079053609c2c950d83b9d664ced173acca9383e,This storage account is configured to allow traffic from the public internet.,This increases the number of ways an attacker could attempt to reach the stored data.,VERIFIED
storageaccount-public-traffic-allowed,medium,Storage Accounts,scoutid-840a3d8fadafa69acb839dac91a1f6f74d419203,This storage account is configured to allow traffic from the public internet.,This increases the number of ways an attacker could attempt to reach the stored data.,VERIFIED
storageaccount-soft-delete-enabled,medium,Storage Accounts,scoutid-046bcb4ac72d63421aad6e8d45af3b38e9b5b3a6,This storage account does not have soft delete enabled for blob data.,A deleted or overwritten file cannot be recovered once it is removed.,VERIFIED
storageaccount-soft-delete-enabled,medium,Storage Accounts,scoutid-6afaa1598b5df4e161a3dcf2885ca83f1273efa7,This storage account does not have soft delete enabled for blob data.,A deleted or overwritten file cannot be recovered once it is removed.,VERIFIED
